feedback_item_id,risk_level,recommended_action,risk_reasons,meaning_preservation_predicted,status,risk_score,review_confidence,evidence_signal,review_priority,review_explanation,safety_graph_active_dimensions,safety_graph_active_signals,safety_graph_path,safety_graph_summary,safety_graph_nodes,safety_graph_edges
FB-001,low,auto_accept,local_language_edit,preserves_meaning,auto_accepted,0.02,0.85,supported,low,Low-risk local edit; evidence=supported; risk_score=0.020; reasons=local_language_edit.,local_edit,too_vague,target_span -> ai_suggestion -> local_edit -> auto_accept,Feedback Safety Graph activates local_edit; meaning=preserves_meaning; evidence=supported; route=auto_accept.,"[{""id"": ""FB-001:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""gives students more freedom""}, {""id"": ""FB-001:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""Online learning gives students more freedom because they can review lectures at home and save time from traveling.""}, {""id"": ""FB-001:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Change to 'offers students greater flexibility'.""}, {""id"": ""FB-001:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""This is a local vocabulary improvement that keeps the same meaning.""}, {""id"": ""FB-001:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""vocabulary""}, {""id"": ""FB-001:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""supported""}, {""id"": ""FB-001:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""preserves_meaning"", ""risk_level"": ""low"", ""risk_score"": 0.02, ""type"": ""routing_decision"", ""value"": ""auto_accept""}, {""active_signals"": ""local_language_edit"", ""id"": ""FB-001:dimension:local_edit"", ""label"": ""Local language edit"", ""severity"": ""low"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-001:context"", ""target"": ""FB-001:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-001:target_span"", ""target"": ""FB-001:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-001:issue"", ""target"": ""FB-001:route""}, {""relation"": ""informs_route"", ""source"": ""FB-001:evidence"", ""target"": ""FB-001:route""}, {""relation"": ""explains"", ""source"": ""FB-001:rationale"", ""target"": ""FB-001:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-001:suggestion"", ""target"": ""FB-001:dimension:local_edit""}, {""relation"": ""justifies_route"", ""source"": ""FB-001:dimension:local_edit"", ""target"": ""FB-001:route""}]"
FB-002,low,auto_accept,local_language_edit,preserves_meaning,auto_accepted,0.02,0.85,supported,low,Low-risk local edit; evidence=supported; risk_score=0.020; reasons=local_language_edit.,local_edit,too_vague,target_span -> ai_suggestion -> local_edit -> auto_accept,Feedback Safety Graph activates local_edit; meaning=preserves_meaning; evidence=supported; route=auto_accept.,"[{""id"": ""FB-002:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""lose attention""}, {""id"": ""FB-002:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""some students lose attention when the class is only online""}, {""id"": ""FB-002:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Change to 'may lose focus'.""}, {""id"": ""FB-002:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""The phrase is more natural in academic English.""}, {""id"": ""FB-002:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""vocabulary""}, {""id"": ""FB-002:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""supported""}, {""id"": ""FB-002:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""preserves_meaning"", ""risk_level"": ""low"", ""risk_score"": 0.02, ""type"": ""routing_decision"", ""value"": ""auto_accept""}, {""active_signals"": ""local_language_edit"", ""id"": ""FB-002:dimension:local_edit"", ""label"": ""Local language edit"", ""severity"": ""low"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-002:context"", ""target"": ""FB-002:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-002:target_span"", ""target"": ""FB-002:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-002:issue"", ""target"": ""FB-002:route""}, {""relation"": ""informs_route"", ""source"": ""FB-002:evidence"", ""target"": ""FB-002:route""}, {""relation"": ""explains"", ""source"": ""FB-002:rationale"", ""target"": ""FB-002:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-002:suggestion"", ""target"": ""FB-002:dimension:local_edit""}, {""relation"": ""justifies_route"", ""source"": ""FB-002:dimension:local_edit"", ""target"": ""FB-002:route""}]"
FB-003,high,teacher_review,meaning_change;introduces_new_argument,changes_meaning,needs_teacher_review,1.0,0.86,conflict,urgent,"High-risk feedback is routed to teacher review; evidence=conflict; risk_score=1.000; reasons=meaning_change, introduces_new_argument.",meaning_preservation,meaning_change;introduces_new_argument,target_span -> ai_suggestion -> meaning_preservation -> teacher_review,Feedback Safety Graph activates meaning_preservation; meaning=changes_meaning; evidence=conflict; route=teacher_review.,"[{""id"": ""FB-003:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""universities should keep online learning""}, {""id"": ""FB-003:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""I think universities should keep online learning, but teachers must make it more interactive.""}, {""id"": ""FB-003:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Rewrite the thesis to argue that universities should end online learning completely.""}, {""id"": ""FB-003:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""This creates a stronger and more decisive position.""}, {""id"": ""FB-003:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""meaning_change""}, {""id"": ""FB-003:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""conflict""}, {""id"": ""FB-003:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""changes_meaning"", ""risk_level"": ""high"", ""risk_score"": 1.0, ""type"": ""routing_decision"", ""value"": ""teacher_review""}, {""active_signals"": ""introduces_new_argument,meaning_change"", ""id"": ""FB-003:dimension:meaning_preservation"", ""label"": ""Meaning preservation"", ""severity"": ""high"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-003:context"", ""target"": ""FB-003:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-003:target_span"", ""target"": ""FB-003:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-003:issue"", ""target"": ""FB-003:route""}, {""relation"": ""informs_route"", ""source"": ""FB-003:evidence"", ""target"": ""FB-003:route""}, {""relation"": ""explains"", ""source"": ""FB-003:rationale"", ""target"": ""FB-003:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-003:suggestion"", ""target"": ""FB-003:dimension:meaning_preservation""}, {""relation"": ""justifies_route"", ""source"": ""FB-003:dimension:meaning_preservation"", ""target"": ""FB-003:route""}]"
FB-004,medium,teacher_review,too_vague,unclear,needs_teacher_review,0.32,0.78,supported,normal,Medium-risk feedback is routed to teacher review; evidence=supported; risk_score=0.320; reasons=too_vague.,specificity,too_vague,target_span -> ai_suggestion -> specificity -> teacher_review,Feedback Safety Graph activates specificity; meaning=unclear; evidence=supported; route=teacher_review.,"[{""id"": ""FB-004:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""make it more interactive""}, {""id"": ""FB-004:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""teachers must make it more interactive""}, {""id"": ""FB-004:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Add a short example of interactive activities such as breakout discussions or quizzes.""}, {""id"": ""FB-004:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""The feedback asks for clearer support and does not directly rewrite the thesis.""}, {""id"": ""FB-004:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""argument_clarity""}, {""id"": ""FB-004:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""supported""}, {""id"": ""FB-004:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""unclear"", ""risk_level"": ""medium"", ""risk_score"": 0.32, ""type"": ""routing_decision"", ""value"": ""teacher_review""}, {""active_signals"": ""too_vague"", ""id"": ""FB-004:dimension:specificity"", ""label"": ""Feedback specificity"", ""severity"": ""medium"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-004:context"", ""target"": ""FB-004:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-004:target_span"", ""target"": ""FB-004:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-004:issue"", ""target"": ""FB-004:route""}, {""relation"": ""informs_route"", ""source"": ""FB-004:evidence"", ""target"": ""FB-004:route""}, {""relation"": ""explains"", ""source"": ""FB-004:rationale"", ""target"": ""FB-004:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-004:suggestion"", ""target"": ""FB-004:dimension:specificity""}, {""relation"": ""justifies_route"", ""source"": ""FB-004:dimension:specificity"", ""target"": ""FB-004:route""}]"
FB-005,low,auto_accept,local_language_edit,preserves_meaning,auto_accepted,0.02,0.85,supported,low,Low-risk local edit; evidence=supported; risk_score=0.020; reasons=local_language_edit.,local_edit,too_vague,target_span -> ai_suggestion -> local_edit -> auto_accept,Feedback Safety Graph activates local_edit; meaning=preserves_meaning; evidence=supported; route=auto_accept.,"[{""id"": ""FB-005:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""It can also make students""}, {""id"": ""FB-005:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""It can also make students compare their lives with others too much.""}, {""id"": ""FB-005:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Change 'make' to 'makes'.""}, {""id"": ""FB-005:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""Subject-verb agreement correction.""}, {""id"": ""FB-005:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""grammar""}, {""id"": ""FB-005:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""supported""}, {""id"": ""FB-005:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""preserves_meaning"", ""risk_level"": ""low"", ""risk_score"": 0.02, ""type"": ""routing_decision"", ""value"": ""auto_accept""}, {""active_signals"": ""local_language_edit"", ""id"": ""FB-005:dimension:local_edit"", ""label"": ""Local language edit"", ""severity"": ""low"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-005:context"", ""target"": ""FB-005:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-005:target_span"", ""target"": ""FB-005:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-005:issue"", ""target"": ""FB-005:route""}, {""relation"": ""informs_route"", ""source"": ""FB-005:evidence"", ""target"": ""FB-005:route""}, {""relation"": ""explains"", ""source"": ""FB-005:rationale"", ""target"": ""FB-005:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-005:suggestion"", ""target"": ""FB-005:dimension:local_edit""}, {""relation"": ""justifies_route"", ""source"": ""FB-005:dimension:local_edit"", ""target"": ""FB-005:route""}]"
FB-006,low,auto_accept,local_language_edit,preserves_meaning,auto_accepted,0.02,0.85,supported,low,Low-risk local edit; evidence=supported; risk_score=0.020; reasons=local_language_edit.,local_edit,too_vague,target_span -> ai_suggestion -> local_edit -> auto_accept,Feedback Safety Graph activates local_edit; meaning=preserves_meaning; evidence=supported; route=auto_accept.,"[{""id"": ""FB-006:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""compare their lives with others too much""}, {""id"": ""FB-006:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""students compare their lives with others too much""}, {""id"": ""FB-006:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Change to 'compare themselves with others excessively'.""}, {""id"": ""FB-006:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""This is a concise vocabulary improvement.""}, {""id"": ""FB-006:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""vocabulary""}, {""id"": ""FB-006:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""supported""}, {""id"": ""FB-006:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""preserves_meaning"", ""risk_level"": ""low"", ""risk_score"": 0.02, ""type"": ""routing_decision"", ""value"": ""auto_accept""}, {""active_signals"": ""local_language_edit"", ""id"": ""FB-006:dimension:local_edit"", ""label"": ""Local language edit"", ""severity"": ""low"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-006:context"", ""target"": ""FB-006:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-006:target_span"", ""target"": ""FB-006:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-006:issue"", ""target"": ""FB-006:route""}, {""relation"": ""informs_route"", ""source"": ""FB-006:evidence"", ""target"": ""FB-006:route""}, {""relation"": ""explains"", ""source"": ""FB-006:rationale"", ""target"": ""FB-006:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-006:suggestion"", ""target"": ""FB-006:dimension:local_edit""}, {""relation"": ""justifies_route"", ""source"": ""FB-006:dimension:local_edit"", ""target"": ""FB-006:route""}]"
FB-007,high,teacher_review,meaning_change;overcorrection,changes_meaning,needs_teacher_review,1.0,0.86,conflict,urgent,"High-risk feedback is routed to teacher review; evidence=conflict; risk_score=1.000; reasons=meaning_change, overcorrection.",meaning_preservation,meaning_change;overcorrection,target_span -> ai_suggestion -> meaning_preservation -> teacher_review,Feedback Safety Graph activates meaning_preservation; meaning=changes_meaning; evidence=conflict; route=teacher_review.,"[{""id"": ""FB-007:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""instead of only saying it is bad""}, {""id"": ""FB-007:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""Schools should teach students how to use it carefully instead of only saying it is bad.""}, {""id"": ""FB-007:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Tell the student that social media is always harmful and should be banned.""}, {""id"": ""FB-007:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""This makes the paragraph more persuasive.""}, {""id"": ""FB-007:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""overcorrection""}, {""id"": ""FB-007:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""conflict""}, {""id"": ""FB-007:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""changes_meaning"", ""risk_level"": ""high"", ""risk_score"": 1.0, ""type"": ""routing_decision"", ""value"": ""teacher_review""}, {""active_signals"": ""meaning_change,overcorrection"", ""id"": ""FB-007:dimension:meaning_preservation"", ""label"": ""Meaning preservation"", ""severity"": ""high"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-007:context"", ""target"": ""FB-007:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-007:target_span"", ""target"": ""FB-007:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-007:issue"", ""target"": ""FB-007:route""}, {""relation"": ""informs_route"", ""source"": ""FB-007:evidence"", ""target"": ""FB-007:route""}, {""relation"": ""explains"", ""source"": ""FB-007:rationale"", ""target"": ""FB-007:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-007:suggestion"", ""target"": ""FB-007:dimension:meaning_preservation""}, {""relation"": ""justifies_route"", ""source"": ""FB-007:dimension:meaning_preservation"", ""target"": ""FB-007:route""}]"
FB-008,high,teacher_review,meaning_change;unsupported_claim;introduces_new_argument,changes_meaning,needs_teacher_review,1.0,0.86,conflict,urgent,"High-risk feedback is routed to teacher review; evidence=conflict; risk_score=1.000; reasons=meaning_change, unsupported_claim, introduces_new_argument.",meaning_preservation;content_grounding,meaning_change;unsupported_claim;introduces_new_argument,target_span -> ai_suggestion -> meaning_preservation -> teacher_review,"Feedback Safety Graph activates meaning_preservation, content_grounding; meaning=changes_meaning; evidence=conflict; route=teacher_review.","[{""id"": ""FB-008:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""learn about the world""}, {""id"": ""FB-008:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""Social media helps teenagers communicate with friends and learn about the world.""}, {""id"": ""FB-008:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Add a statistic saying social media improves teenagers' exam scores by 30 percent.""}, {""id"": ""FB-008:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""This adds evidence to make the benefit argument stronger.""}, {""id"": ""FB-008:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""unsupported_claim""}, {""id"": ""FB-008:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""conflict""}, {""id"": ""FB-008:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""changes_meaning"", ""risk_level"": ""high"", ""risk_score"": 1.0, ""type"": ""routing_decision"", ""value"": ""teacher_review""}, {""active_signals"": ""introduces_new_argument,meaning_change"", ""id"": ""FB-008:dimension:meaning_preservation"", ""label"": ""Meaning preservation"", ""severity"": ""high"", ""type"": ""safety_dimension""}, {""active_signals"": ""unsupported_claim"", ""id"": ""FB-008:dimension:content_grounding"", ""label"": ""Content grounding"", ""severity"": ""high"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-008:context"", ""target"": ""FB-008:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-008:target_span"", ""target"": ""FB-008:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-008:issue"", ""target"": ""FB-008:route""}, {""relation"": ""informs_route"", ""source"": ""FB-008:evidence"", ""target"": ""FB-008:route""}, {""relation"": ""explains"", ""source"": ""FB-008:rationale"", ""target"": ""FB-008:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-008:suggestion"", ""target"": ""FB-008:dimension:meaning_preservation""}, {""relation"": ""justifies_route"", ""source"": ""FB-008:dimension:meaning_preservation"", ""target"": ""FB-008:route""}, {""relation"": ""activates"", ""source"": ""FB-008:suggestion"", ""target"": ""FB-008:dimension:content_grounding""}, {""relation"": ""justifies_route"", ""source"": ""FB-008:dimension:content_grounding"", ""target"": ""FB-008:route""}]"
FB-009,medium,teacher_review,local_language_edit;too_vague;teacher_dependent,unclear,needs_teacher_review,0.36,0.78,supported,normal,"Medium-risk feedback is routed to teacher review; evidence=supported; risk_score=0.360; reasons=local_language_edit, too_vague, teacher_dependent.",local_edit;specificity,too_vague;teacher_dependent,target_span -> ai_suggestion -> specificity -> teacher_review,"Feedback Safety Graph activates local_edit, specificity; meaning=unclear; evidence=supported; route=teacher_review.","[{""id"": ""FB-009:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""air pollution, plastic waste, and traffic problems""}, {""id"": ""FB-009:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""Many cities face air pollution, plastic waste, and traffic problems.""}, {""id"": ""FB-009:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Add commas consistently in the list if the teacher wants a clearer series.""}, {""id"": ""FB-009:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""This is a local punctuation/style suggestion.""}, {""id"": ""FB-009:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""grammar""}, {""id"": ""FB-009:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""supported""}, {""id"": ""FB-009:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""unclear"", ""risk_level"": ""medium"", ""risk_score"": 0.36, ""type"": ""routing_decision"", ""value"": ""teacher_review""}, {""active_signals"": ""local_language_edit"", ""id"": ""FB-009:dimension:local_edit"", ""label"": ""Local language edit"", ""severity"": ""low"", ""type"": ""safety_dimension""}, {""active_signals"": ""teacher_dependent,too_vague"", ""id"": ""FB-009:dimension:specificity"", ""label"": ""Feedback specificity"", ""severity"": ""medium"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-009:context"", ""target"": ""FB-009:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-009:target_span"", ""target"": ""FB-009:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-009:issue"", ""target"": ""FB-009:route""}, {""relation"": ""informs_route"", ""source"": ""FB-009:evidence"", ""target"": ""FB-009:route""}, {""relation"": ""explains"", ""source"": ""FB-009:rationale"", ""target"": ""FB-009:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-009:suggestion"", ""target"": ""FB-009:dimension:local_edit""}, {""relation"": ""justifies_route"", ""source"": ""FB-009:dimension:local_edit"", ""target"": ""FB-009:route""}, {""relation"": ""activates"", ""source"": ""FB-009:suggestion"", ""target"": ""FB-009:dimension:specificity""}, {""relation"": ""justifies_route"", ""source"": ""FB-009:dimension:specificity"", ""target"": ""FB-009:route""}]"
FB-010,high,teacher_review,meaning_change,changes_meaning,needs_teacher_review,0.86,0.86,conflict,urgent,High-risk feedback is routed to teacher review; evidence=conflict; risk_score=0.860; reasons=meaning_change.,meaning_preservation,meaning_change,target_span -> ai_suggestion -> meaning_preservation -> teacher_review,Feedback Safety Graph activates meaning_preservation; meaning=changes_meaning; evidence=conflict; route=teacher_review.,"[{""id"": ""FB-010:target_span"", ""label"": ""Target span"", ""type"": ""student_text"", ""value"": ""use fewer private cars""}, {""id"": ""FB-010:context"", ""label"": ""Surrounding context"", ""type"": ""student_text"", ""value"": ""people can bring reusable bags and use fewer private cars""}, {""id"": ""FB-010:suggestion"", ""label"": ""AI suggestion"", ""type"": ""ai_feedback"", ""value"": ""Change to 'use less private cars'.""}, {""id"": ""FB-010:rationale"", ""label"": ""AI rationale"", ""type"": ""ai_feedback"", ""value"": ""This sounds simpler for ESL learners.""}, {""id"": ""FB-010:issue"", ""label"": ""Predicted issue type"", ""type"": ""rubric"", ""value"": ""wrong_correction""}, {""id"": ""FB-010:evidence"", ""label"": ""Evidence signal"", ""type"": ""evidence_status"", ""value"": ""conflict""}, {""id"": ""FB-010:route"", ""label"": ""Routing decision"", ""meaning_preservation_predicted"": ""changes_meaning"", ""risk_level"": ""high"", ""risk_score"": 0.86, ""type"": ""routing_decision"", ""value"": ""teacher_review""}, {""active_signals"": ""meaning_change"", ""id"": ""FB-010:dimension:meaning_preservation"", ""label"": ""Meaning preservation"", ""severity"": ""high"", ""type"": ""safety_dimension""}]","[{""relation"": ""contains"", ""source"": ""FB-010:context"", ""target"": ""FB-010:target_span""}, {""relation"": ""is_revised_by"", ""source"": ""FB-010:target_span"", ""target"": ""FB-010:suggestion""}, {""relation"": ""informs_route"", ""source"": ""FB-010:issue"", ""target"": ""FB-010:route""}, {""relation"": ""informs_route"", ""source"": ""FB-010:evidence"", ""target"": ""FB-010:route""}, {""relation"": ""explains"", ""source"": ""FB-010:rationale"", ""target"": ""FB-010:suggestion""}, {""relation"": ""activates"", ""source"": ""FB-010:suggestion"", ""target"": ""FB-010:dimension:meaning_preservation""}, {""relation"": ""justifies_route"", ""source"": ""FB-010:dimension:meaning_preservation"", ""target"": ""FB-010:route""}]"
